sample_id,beta2_deg,Z_blades,b2_D2,D1_D2,phi_deg,A8_mm2,eta_cfd_pct,eta_physics_pct,eta_hybrid_surrogate_pct,H_cfd_m,NPSHr_m
P1-001,28.16,7,0.0484,0.4675,103.7,2063,78.175,80.204,78.474,50.812,8.809
P1-002,29.47,5,0.0726,0.4518,123.6,2462,70.951,71.606,71.382,49.839,8.538
P1-003,31.33,7,0.0547,0.5265,131.2,1886,74.122,73.904,73.897,51.062,9.831
P1-004,18.91,7,0.0481,0.5108,108.7,1853,64.23,62.445,64.202,49.177,9.559
P1-005,25.71,8,0.0592,0.4575,95.9,2240,76.479,76.137,75.707,49.836,8.637
P1-006,27.27,6,0.0705,0.4443,96.1,2231,75.199,74.812,75.512,49.551,8.407
P1-007,28.45,5,0.0664,0.4966,117.8,2336,79.816,84.699,78.843,49.967,9.313
P1-008,27.65,7,0.054,0.4648,110.3,2263,84.703,87.098,83.891,50.443,8.763
P1-009,21.41,8,0.0597,0.5239,105.2,2169,75.27,76.32,75.857,49.044,9.786
P1-010,31.71,5,0.0521,0.5291,113.1,2198,72.156,71.571,72.843,51.264,9.876
P1-011,19.68,8,0.0695,0.4501,109.6,2128,68.643,65.16,68.909,48.245,8.509
P1-012,31.41,6,0.0507,0.4241,99.6,1842,66.335,71.011,66.268,51.278,8.058
P1-013,29.01,6,0.058,0.4372,97.2,2001,74.453,77.126,74.686,50.489,8.285
P1-014,29.93,5,0.0619,0.4326,97.8,2295,73.704,77.988,73.412,50.456,8.206
P1-015,24.01,5,0.0475,0.4472,130.3,2417,71.149,73.795,70.51,50.117,8.459
P1-016,18.07,7,0.0633,0.4702,121.9,2097,72.117,74.975,72.255,48.269,8.856
P1-017,24.76,6,0.0469,0.4886,111.1,1956,76.342,75.054,76.22,50.28,9.175
P1-018,22.5,6,0.0646,0.5063,105.8,2300,79.754,77.933,79.649,48.992,9.48
P1-019,24.97,5,0.0571,0.508,116.5,2396,79.683,78.237,80.038,49.81,9.51
P1-020,26.19,6,0.0656,0.4392,114.9,1982,80.519,81.417,80.908,49.602,8.32
P1-021,30.86,8,0.0745,0.5447,133.5,2207,65.607,66.44,64.764,49.994,10.145
P1-022,19.93,6,0.0698,0.4944,104.2,2119,71.97,74.542,70.977,48.276,9.276
P1-023,30.53,8,0.0671,0.4206,120.8,1877,71.003,69.365,70.932,50.3,7.997
P1-024,28.75,6,0.0564,0.4763,119.0,2434,84.369,82.007,84.242,50.519,8.962
P1-025,19.53,6,0.0625,0.4819,98.7,1806,65.105,64.51,65.183,48.566,9.058
P1-026,21.09,7,0.0558,0.5007,115.8,1932,76.808,79.838,77.385,49.182,9.384
P1-027,22.15,7,0.0718,0.5151,102.3,2441,72.554,70.343,72.421,48.574,9.633
P1-028,21.7,6,0.0451,0.4903,129.5,2038,72.313,73.223,71.81,49.826,9.205
P1-029,20.78,6,0.0585,0.4297,113.8,1946,73.362,76.825,73.311,48.992,8.155
P1-030,21.83,7,0.0678,0.5304,108.0,2008,74.738,82.293,75.292,48.714,9.897
P1-031,23.25,7,0.0502,0.5386,118.9,2382,76.475,78.148,77.454,49.846,10.04
P1-032,26.86,5,0.0492,0.4589,100.5,2088,72.223,80.07,70.79,50.544,8.661
P1-033,18.42,8,0.0661,0.4738,102.1,2320,67.537,68.879,67.576,48.189,8.919
P1-034,20.22,7,0.0512,0.5186,112.0,1918,71.705,75.676,71.575,49.259,9.695
P1-035,24.23,7,0.071,0.4268,125.8,2185,76.105,79.963,76.302,48.982,8.104
P1-036,25.44,7,0.0555,0.5496,106.9,2481,75.339,76.244,76.388,49.972,10.23
P1-037,29.81,7,0.0736,0.441,128.1,2494,73.53,73.916,74.569,49.851,8.351
P1-038,25.97,6,0.0524,0.5418,134.8,2156,76.017,77.97,77.061,50.22,10.096
P1-039,30.31,6,0.0615,0.486,126.2,1895,80.054,81.447,79.148,50.544,9.131
P1-040,23.62,7,0.064,0.5368,127.6,2270,79.422,81.94,79.677,49.223,10.009
P1-041,22.73,7,0.0533,0.517,124.8,2350,79.508,74.767,78.85,49.599,9.666
P1-042,23.48,7,0.0608,0.4779,131.4,2375,80.512,84.386,81.005,49.357,8.99
P1-043,27.62,6,0.0737,0.503,122.9,1826,74.0,71.7,73.068,49.452,9.425
P1-044,19.16,8,0.0461,0.4625,120.7,2066,65.952,67.198,66.913,49.323,8.723
P1-045,26.61,6,0.069,0.5337,133.2,2033,73.492,73.372,73.342,49.507,9.956
