sample_id,eta_cfd_pct,eta_physics_pct,eta_hybrid_surrogate_pct
P2-001,64.93,69.571,64.521
P2-002,68.116,71.474,66.613
P2-003,67.383,70.289,65.956
P2-004,59.181,60.656,58.097
P2-005,69.575,73.776,70.162
P2-006,67.224,69.896,66.36
P2-007,67.355,72.145,70.007
P2-008,61.365,61.189,61.747
P2-009,70.115,77.842,69.422
P2-010,68.568,67.961,67.985
P2-011,59.843,65.408,59.771
P2-012,57.413,59.643,58.043
P2-013,65.642,64.185,65.101
P2-014,66.415,65.639,67.249
P2-015,57.176,57.626,56.516
P2-016,60.165,58.947,60.312
P2-017,69.993,68.577,70.449
P2-018,59.46,62.906,59.547
P2-019,66.868,69.161,67.068
P2-020,65.19,66.323,65.2
P2-021,71.779,76.438,71.851
P2-022,65.976,69.651,66.84
P2-023,60.457,63.998,60.539
P2-024,65.142,64.069,65.292
P2-025,54.769,62.311,54.202
P2-026,71.649,70.993,71.96
P2-027,69.226,72.507,68.406
P2-028,66.696,68.865,67.344
P2-029,58.458,58.09,58.263
P2-030,67.546,68.804,66.567
P2-031,69.865,73.459,69.932
P2-032,71.91,73.713,73.135
P2-033,63.538,70.348,62.861
P2-034,67.832,67.451,67.484
P2-035,65.62,65.263,65.366
P2-036,72.942,72.897,72.809
P2-037,72.727,73.579,72.572
P2-038,59.475,57.394,59.658
P2-039,71.79,74.74,71.208
P2-040,63.92,69.504,64.537
P2-041,58.404,63.153,58.034
P2-042,71.474,67.786,71.341
P2-043,67.293,66.189,67.846
P2-044,69.062,71.997,69.601
P2-045,70.618,68.573,70.851
P2-046,74.526,72.676,74.684
P2-047,63.223,66.206,63.051
P2-048,70.103,70.244,71.641
