sample_id,eta_cfd_pct,eta_physics_pct,eta_hybrid_surrogate_pct
P1-001,78.175,80.204,78.474
P1-002,70.951,71.606,71.382
P1-003,74.122,73.904,73.897
P1-004,64.23,62.445,64.202
P1-005,76.479,76.137,75.707
P1-006,75.199,74.812,75.512
P1-007,79.816,84.699,78.843
P1-008,84.703,87.098,83.891
P1-009,75.27,76.32,75.857
P1-010,72.156,71.571,72.843
P1-011,68.643,65.16,68.909
P1-012,66.335,71.011,66.268
P1-013,74.453,77.126,74.686
P1-014,73.704,77.988,73.412
P1-015,71.149,73.795,70.51
P1-016,72.117,74.975,72.255
P1-017,76.342,75.054,76.22
P1-018,79.754,77.933,79.649
P1-019,79.683,78.237,80.038
P1-020,80.519,81.417,80.908
P1-021,65.607,66.44,64.764
P1-022,71.97,74.542,70.977
P1-023,71.003,69.365,70.932
P1-024,84.369,82.007,84.242
P1-025,65.105,64.51,65.183
P1-026,76.808,79.838,77.385
P1-027,72.554,70.343,72.421
P1-028,72.313,73.223,71.81
P1-029,73.362,76.825,73.311
P1-030,74.738,82.293,75.292
P1-031,76.475,78.148,77.454
P1-032,72.223,80.07,70.79
P1-033,67.537,68.879,67.576
P1-034,71.705,75.676,71.575
P1-035,76.105,79.963,76.302
P1-036,75.339,76.244,76.388
P1-037,73.53,73.916,74.569
P1-038,76.017,77.97,77.061
P1-039,80.054,81.447,79.148
P1-040,79.422,81.94,79.677
P1-041,79.508,74.767,78.85
P1-042,80.512,84.386,81.005
P1-043,74.0,71.7,73.068
P1-044,65.952,67.198,66.913
P1-045,73.492,73.372,73.342
