Q_m3h,H_cfd_twin_m,H_surrogate_twin_m,eta_cfd_twin_pct,eta_surrogate_twin_pct,is_bep
45.0,63.125,63.125,29.085,29.085,False
54.86,62.7,62.7,33.511,33.511,False
64.71,62.19,62.19,41.016,41.016,False
74.57,61.597,61.597,47.904,47.904,False
84.43,60.92,60.92,54.178,54.178,False
94.29,60.159,60.159,59.836,59.836,False
104.14,59.314,59.314,64.879,64.879,False
114.0,58.384,58.384,69.307,69.307,False
123.86,57.371,57.371,73.119,73.119,False
133.71,56.274,56.274,76.316,76.316,False
143.57,55.093,55.093,78.898,78.898,False
153.43,53.828,53.828,80.864,80.864,False
163.29,52.479,52.479,82.215,82.215,False
173.14,51.046,51.046,82.951,82.951,False
183.0,49.529,49.526,83.072,83.063,True
192.86,47.929,47.915,82.577,82.541,False
202.71,46.244,46.22,81.466,81.403,False
212.57,44.475,44.443,79.741,79.651,False
222.43,42.622,42.582,77.4,77.282,False
232.29,40.685,40.638,74.444,74.299,False
242.14,38.665,38.611,70.872,70.7,False
252.0,36.56,36.502,66.685,66.486,False
